City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Wonthaggi,AU,67.82,scattered clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
5,Key Largo,US,77.0,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
11,Labuhan,ID,76.66,overcast clouds,-6.8844,112.2051,DoubleFAG
14,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
15,Hobart,AU,71.22,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
17,Baghdad,IQ,66.11,clear sky,33.3406,44.4009,Baghdad Hotel
18,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Arraial Do Cabo,BR,76.86,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
24,Anori,BR,75.18,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
25,Avarua,CK,86.05,few clouds,-21.2078,-159.775,Paradise Inn
28,Lompoc,US,79.12,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
29,Butaritari,KI,80.2,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Boda,CF,76.93,overcast clouds,4.3189,17.4695,
33,Luba,GQ,80.37,overcast clouds,3.4568,8.5547,
35,Castro,BR,69.26,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
36,Puerto Narino,CO,76.53,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
42,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
43,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Ahipara,NZ,68.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
56,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
60,Richards Bay,ZA,67.21,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
62,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
65,Vaini,TO,80.76,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
69,Kavieng,PG,82.63,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Atuona,PF,79.21,light rain,-9.8,-139.0333,Villa Enata
71,San Rafael,AR,75.25,clear sky,-34.6177,-68.3301,Hotel San Rafael
77,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
80,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
81,New Norfolk,AU,71.89,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
82,Humaita,BR,75.67,light rain,-7.5061,-63.0208,Corrêa Hotel
88,Adrar,MR,79.72,clear sky,20.5022,-10.0711,
89,Cativa,PA,81.34,overcast clouds,9.3606,-79.8436,La Granja Campo y Aventura
90,Taitung,TW,70.07,light intensity drizzle,22.7583,121.1444,Taitung Bali Suites Hotel
92,Bontang,ID,76.24,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
93,Buala,SB,84.31,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
97,Flinders,AU,67.17,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
98,Lampazos De Naranjo,MX,89.02,broken clouds,27.0167,-100.5167,Bella Vista
99,Port Lincoln,AU,69.76,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
101,Venado Tuerto,AR,73.76,clear sky,-33.7456,-61.9688,La Bianca.
102,Samarai,PG,83.89,few clouds,-10.6167,150.6667,Nuli Sapi
103,Sao Felix Do Xingu,BR,73.6,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
105,Savda,IN,86.18,overcast clouds,21.15,75.8833,Khandesh Chinese & Fast Food Point
