City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aqtobe,KZ,50.2797,57.2072,50.09,76,75,8.95,broken clouds
1,Hilo,US,19.7297,-155.09,76.73,84,100,11.5,overcast clouds
2,Portland,US,45.5234,-122.6762,56.61,50,75,13.8,broken clouds
3,Wonthaggi,AU,-38.6044,145.5913,67.82,74,30,11.32,scattered clouds
4,Westport,US,41.1415,-73.3579,55.89,62,20,13.8,light rain
5,Key Largo,US,25.0865,-80.4473,77.0,50,93,20.87,overcast clouds
6,Khatanga,RU,71.9667,102.5,-5.28,100,93,2.35,overcast clouds
7,Ancud,CL,-41.8697,-73.8203,47.23,82,100,7.9,light rain
8,Mataura,NZ,-46.1927,168.8643,57.11,61,33,4.92,scattered clouds
9,Vestmannaeyjar,IS,63.4427,-20.2734,39.22,67,100,27.98,overcast clouds
10,Aguimes,ES,27.9054,-15.4461,61.43,63,20,17.27,few clouds
11,Labuhan,ID,-6.8844,112.2051,76.66,88,99,7.99,overcast clouds
12,Lebu,CL,-37.6167,-73.65,52.63,85,71,0.74,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,60.8,79,14,18.45,few clouds
14,Rikitea,PF,-23.1203,-134.9692,79.2,73,10,18.01,clear sky
15,Hobart,AU,-42.8794,147.3294,71.22,75,75,9.22,broken clouds
16,Tiksi,RU,71.6872,128.8694,-10.77,100,91,5.68,overcast clouds
17,Baghdad,IQ,33.3406,44.4009,66.11,39,0,2.3,clear sky
18,Kapaa,US,22.0752,-159.319,80.58,75,40,10.36,scattered clouds
19,Dawson,US,31.7735,-84.4466,63.82,45,5,11.9,clear sky
20,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,90,86,11.05,overcast clouds
21,Kenai,US,60.5544,-151.2583,37.02,34,0,11.5,clear sky
22,Ushuaia,AR,-54.8,-68.3,47.86,66,20,3.44,few clouds
23,Krasnyy Oktyabr,RU,56.1167,38.8833,42.1,94,100,8.59,overcast clouds
24,Anori,BR,-3.7728,-61.6442,75.18,99,100,1.99,overcast clouds
25,Avarua,CK,-21.2078,-159.775,86.05,74,20,8.05,few clouds
26,Upernavik,GL,72.7868,-56.1549,-3.41,99,60,4.85,broken clouds
27,Jamestown,US,42.097,-79.2353,37.53,43,100,12.66,overcast clouds
28,Lompoc,US,34.6391,-120.4579,79.12,62,0,30.0,haze
29,Butaritari,KI,3.0707,172.7902,80.2,80,88,12.77,light rain
30,Bonavista,CA,48.6499,-53.1147,33.55,95,100,24.18,snow
31,Stepantsevo,RU,56.1314,41.7032,37.8,98,94,5.7,overcast clouds
32,Boda,CF,4.3189,17.4695,76.93,56,98,3.91,overcast clouds
33,Luba,GQ,3.4568,8.5547,80.37,81,100,3.27,overcast clouds
34,Albany,US,42.6001,-73.9662,50.04,70,70,1.01,broken clouds
35,Castro,BR,-24.7911,-50.0119,69.26,77,93,3.33,overcast clouds
36,Puerto Narino,CO,-3.7703,-70.3831,76.53,96,97,1.41,overcast clouds
37,Katsuura,JP,35.1333,140.3,63.39,76,0,7.31,clear sky
38,Yellowknife,CA,62.456,-114.3525,30.42,65,75,21.85,broken clouds
39,Goderich,CA,43.7501,-81.7165,34.92,80,100,1.14,overcast clouds
40,Bluff,NZ,-46.6,168.3333,58.03,73,43,23.6,scattered clouds
41,Bredasdorp,ZA,-34.5322,20.0403,62.33,84,51,17.45,broken clouds
42,Georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,82.36,75,85,7.05,overcast clouds
44,Rorvik,NO,64.8621,11.2373,40.59,79,97,11.86,overcast clouds
45,Viedma,AR,-40.8135,-62.9967,61.7,89,100,17.09,heavy intensity rain
46,Anda,CN,46.4,125.3167,54.59,36,83,17.67,broken clouds
47,Ahipara,NZ,-35.1667,173.1667,68.25,65,99,4.74,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,48.31,76,40,8.05,scattered clouds
49,Lavrentiya,RU,65.5833,-171.0,21.06,93,96,5.66,overcast clouds
50,Kodiak,US,57.79,-152.4072,38.71,33,0,11.5,clear sky
51,East London,ZA,-33.0153,27.9116,64.24,91,100,10.09,moderate rain
52,Provideniya,RU,64.3833,-173.3,33.01,96,100,16.55,light snow
